drug_id,especie,semilla,n_semilla
757406,0,no informativa,4
758270,0,nula,0
759522,0,no informativa,2
759869,0,nula,0
761650,0,no informativa,7
762046,0,no informativa,3
762412,0,nula,0
763122,0,no informativa,2
764639,0,nula,0
765035,0,nula,0
765186,0,nula,0
765198,0,informativa,65
765442,0,nula,0
765623,0,nula,0
768621,0,no informativa,10
769760,0,nula,0
770680,0,nula,0
771418,0,nula,0
771555,0,nula,0
772266,0,nula,0
772806,0,nula,0
773773,0,nula,0
773833,0,nula,0
774214,0,nula,0
774333,0,nula,0
774573,0,nula,0
775308,0,nula,0
776926,0,nula,0
777210,0,nula,0
779514,0,nula,0
780256,0,nula,0
780582,0,nula,0
780666,0,nula,0
780690,0,nula,0
781677,0,nula,0
781690,0,nula,0
782163,0,nula,0
783089,0,nula,0
783635,0,nula,0
783678,0,nula,0
784749,0,nula,0
784870,0,informativa,3
786902,0,nula,0
787770,0,nula,0
787880,0,nula,0
788146,0,nula,0
788151,0,nula,0
789170,0,nula,0
789272,0,nula,0
789613,0,nula,0
791217,0,nula,0
792048,0,nula,0
793102,0,nula,0
794549,0,nula,0
794634,0,nula,0
794904,0,nula,0
795541,0,nula,0
796602,0,nula,0
798051,0,nula,0
799974,0,nula,0
803685,0,nula,0
804290,0,nula,0
806043,0,nula,0
806114,0,nula,0
807448,0,nula,0
807452,0,nula,0
808240,0,nula,0
808942,0,nula,0
809442,0,nula,0
809971,0,nula,0
812076,0,nula,0
812242,0,nula,0
814186,0,nula,0
814932,0,nula,0
815860,0,nula,0
816200,0,nula,0
816413,0,nula,0
817661,0,nula,0
818847,0,nula,0
820041,0,nula,0
820343,0,nula,0
824142,0,nula,0
824633,0,no informativa,3
824978,0,nula,0
826713,0,nula,0
827136,0,nula,0
828066,0,nula,0
829224,0,nula,0
830767,0,nula,0
423,10,nula,0
910,10,nula,0
2217,10,nula,0
3341,10,nula,0
3990,10,nula,0
4386,10,nula,0
4725,10,nula,0
4809,10,nula,0
5303,10,nula,0
6858,10,nula,0
8604,10,nula,0
8627,10,informativa,8
9945,10,no informativa,23
10559,10,no informativa,2
11300,10,informativa,5
11475,10,nula,0
11622,10,no informativa,2
12446,10,nula,0
13200,10,nula,0
13349,10,nula,0
15689,10,nula,0
15690,10,nula,0
15976,10,nula,0
16368,10,nula,0
17899,10,nula,0
20811,10,no informativa,5
21325,10,nula,0
21640,10,no informativa,20
22051,10,nula,0
23770,10,nula,0
24348,10,no informativa,6
24567,10,informativa,15
24719,10,no informativa,7
24916,10,nula,0
25227,10,nula,0
25946,10,nula,0
26137,10,nula,0
26430,10,no informativa,2
26664,10,nula,0
26806,10,nula,0
28537,10,nula,0
28557,10,nula,0
29231,10,nula,0
30672,10,nula,0
32485,10,no informativa,9
38037,10,no informativa,4
38572,10,nula,0
38633,10,nula,0
39070,10,nula,0
39222,10,nula,0
40219,10,nula,0
41032,10,nula,0
41460,10,no informativa,5
42241,10,nula,0
43836,10,nula,0
43959,10,nula,0
45105,10,no informativa,2
45268,10,nula,0
46394,10,nula,0
46614,10,nula,0
47900,10,nula,0
47910,10,no informativa,2
49322,10,no informativa,2
50467,10,nula,0
50549,10,nula,0
50643,10,nula,0
50710,10,nula,0
51152,10,no informativa,414
51218,10,nula,0
52472,10,nula,0
53957,10,nula,0
55247,10,no informativa,5
55634,10,nula,0
56064,10,nula,0
56879,10,no informativa,4
57568,10,nula,0
58656,10,nula,0
62425,10,nula,0
62492,10,nula,0
62585,10,no informativa,5
64120,10,no informativa,358
64606,10,no informativa,4
65195,10,nula,0
66188,10,nula,0
67214,10,no informativa,2
69348,10,nula,0
70280,10,no informativa,4
70323,10,no informativa,2
71209,10,nula,0
71798,10,nula,0
72081,10,nula,0
73221,10,nula,0
74323,10,nula,0
77784,10,no informativa,2
79453,10,no informativa,2
81892,10,nula,0
83442,10,nula,0
84148,10,nula,0
87445,10,nula,0
87540,10,nula,0
87563,10,no informativa,49
88028,10,nula,0
91528,10,informativa,3
92491,10,nula,0
93995,10,nula,0
94197,10,no informativa,3
94627,10,nula,0
97547,10,nula,0
97622,10,nula,0
98502,10,nula,0
99304,10,nula,0
99564,10,no informativa,2
100662,10,nula,0
102671,10,nula,0
103179,10,no informativa,5
103413,10,nula,0
103517,10,no informativa,4
103957,10,nula,0
104550,10,no informativa,2
105900,10,nula,0
106239,10,no informativa,3
108487,10,nula,0
108861,10,nula,0
110301,10,no informativa,29
111778,10,nula,0
112572,10,nula,0
113086,10,nula,0
