posicion,n,frac_acumulada
4386,1,0.6212871287128713
4391,1,0.6216996699669967
4394,1,0.6221122112211221
4398,1,0.6225247524752475
4406,1,0.6229372937293729
4417,1,0.6233498349834984
4704,1,0.6237623762376238
5351,4,0.6254125412541254
5352,2,0.6262376237623762
5357,1,0.6266501650165016
5364,2,0.6274752475247525
5365,1,0.6278877887788779
5369,1,0.6283003300330033
5370,1,0.6287128712871287
5372,1,0.6291254125412541
5373,2,0.629950495049505
5376,3,0.6311881188118812
5377,1,0.6316006600660066
5378,1,0.6320132013201321
5380,1,0.6324257425742574
5388,1,0.6328382838283828
5390,2,0.6336633663366337
5392,2,0.6344884488448845
5393,1,0.6349009900990099
5396,1,0.6353135313531353
5397,2,0.6361386138613861
5403,1,0.6365511551155115
5404,2,0.6373762376237624
5420,1,0.6377887788778878
5421,2,0.6386138613861386
5424,1,0.639026402640264
5431,2,0.6398514851485149
5455,1,0.6402640264026402
5459,1,0.6406765676567657
5460,1,0.6410891089108911
5474,1,0.6415016501650165
5476,1,0.641914191419142
5482,1,0.6423267326732673
5487,1,0.6427392739273927
5496,1,0.6431518151815182
5508,2,0.643976897689769
5519,1,0.6443894389438944
5537,1,0.6448019801980198
5543,1,0.6452145214521452
5561,1,0.6456270627062707
5594,1,0.6460396039603961
5598,1,0.6464521452145214
5609,1,0.6468646864686468
5611,1,0.6472772277227723
5664,1,0.6476897689768977
5669,1,0.648102310231023
5699,1,0.6485148514851485
5710,1,0.6489273927392739
5716,1,0.6493399339933993
5743,1,0.6497524752475248
5753,1,0.6501650165016502
5850,1,0.6505775577557755
6001,1,0.650990099009901
6067,1,0.6514026402640264
6080,1,0.6518151815181518
6544,1,0.6522277227722773
6552,1,0.6526402640264026
6554,1,0.653052805280528
6559,1,0.6534653465346535
6562,1,0.6538778877887789
6566,1,0.6542904290429042
6574,1,0.6547029702970297
6590,1,0.6551155115511551
6607,1,0.6555280528052805
6628,1,0.655940594059406
6631,1,0.6563531353135313
6633,1,0.6567656765676567
6634,1,0.6571782178217822
6637,1,0.6575907590759076
6694,1,0.658003300330033
6720,1,0.6584158415841584
6754,1,0.6588283828382838
6813,1,0.6592409240924092
6843,1,0.6596534653465347
6874,1,0.6600660066006601
6904,1,0.6604785478547854
7692,1,0.6608910891089109
8151,5,0.6629537953795379
8152,3,0.6641914191419142
8153,1,0.6646039603960396
8154,3,0.6658415841584159
8155,1,0.6662541254125413
8156,2,0.6670792079207921
8157,3,0.6683168316831684
8158,2,0.6691419141914191
8159,1,0.6695544554455446
8160,13,0.6749174917491749
8161,3,0.6761551155115512
8163,4,0.6778052805280528
8164,1,0.6782178217821783
8166,1,0.6786303630363036
8167,1,0.679042904290429
8168,2,0.6798679867986799
8170,5,0.681930693069307
8171,1,0.6823432343234324
8172,2,0.6831683168316832
8174,1,0.6835808580858086
8175,1,0.683993399339934
8176,1,0.6844059405940595
8177,2,0.6852310231023102
8178,2,0.6860561056105611
8179,2,0.6868811881188119
8180,1,0.6872937293729373
8181,1,0.6877062706270627
8183,1,0.6881188118811881
8184,1,0.6885313531353136
