drug_id,especie,grupo,palanca,parametro,semilla_antes,semilla_despues,rescatada
50232,0,1,kegg,,nula,nula,False
53628,18,2,kegg,,no informativa,no informativa,False
60607,26,3,kegg,,no informativa,no informativa,False
61920,26,3,kegg,,nula,nula,False
63196,3,1,kegg,,nula,nula,False
63713,1,0,kegg,,nula,nula,False
64120,10,2,kegg,,informativa,informativa,False
65195,10,0,kegg,,nula,nula,False
65357,0,1,kegg,,nula,nula,False
65470,26,0,kegg,,no informativa,no informativa,False
65537,3,1,kegg,,nula,nula,False
67564,26,2,kegg,,nula,nula,False
68007,21,0,kegg,,no informativa,no informativa,False
71001,0,0,kegg,,nula,nula,False
72799,25,2,kegg,,informativa,informativa,False
80744,4,0,kegg,,nula,nula,False
84504,26,3,kegg,,nula,nula,False
85765,26,0,kegg,,nula,nula,False
86267,21,3,kegg,,no informativa,no informativa,False
88601,1,0,kegg,,nula,nula,False
92491,10,3,kegg,,nula,nula,False
92919,3,1,kegg,,nula,nula,False
95533,3,2,kegg,,nula,nula,False
96189,0,0,kegg,,no informativa,no informativa,False
97547,10,0,kegg,,nula,nula,False
103517,10,2,kegg,,no informativa,no informativa,False
109391,15,2,kegg,,nula,nula,False
110285,1,1,kegg,,nula,nula,False
113828,0,3,kegg,,nula,nula,False
114251,10,3,kegg,,nula,nula,False
115693,0,3,kegg,,nula,nula,False
121574,0,2,kegg,,informativa,informativa,False
125602,10,1,kegg,,no informativa,no informativa,False
126490,18,1,kegg,,nula,nula,False
127753,18,2,kegg,,nula,nula,False
127980,18,2,kegg,,nula,nula,False
131580,3,0,kegg,,nula,nula,False
138384,1,2,kegg,,nula,nula,False
140961,18,2,kegg,,nula,nula,False
143030,1,0,kegg,,nula,nula,False
152435,1,0,kegg,,nula,nula,False
153520,26,0,kegg,,no informativa,no informativa,False
153789,15,0,kegg,,nula,nula,False
154120,18,3,kegg,,informativa,informativa,False
154230,3,0,kegg,,no informativa,no informativa,False
154431,3,0,kegg,,nula,nula,False
155613,3,1,kegg,,nula,nula,False
156577,15,2,kegg,,no informativa,no informativa,False
158062,0,0,kegg,,nula,nula,False
159200,0,3,kegg,,informativa,informativa,False
159881,3,2,kegg,,no informativa,no informativa,False
163654,15,3,kegg,,nula,nula,False
164680,15,3,kegg,,nula,nula,False
167457,9,3,kegg,,no informativa,no informativa,False
173242,0,0,kegg,,nula,nula,False
