target_id,ann
318152,26149
164521,61816
317506,41154
38448,25957
195868,56081
316041,11747
7685,74315
321021,44735
251054,69809
123474,23709
232752,42504
303334,23091
327823,28547
202671,73786
78396,43717
313377,60053
107880,18154
314378,59124
183357,58733
297775,64359
78457,4585
115647,754
305223,75206
145172,68304
317318,61592
57561,48115
287540,22539
254434,31937
219462,24601
306138,30121
334815,69587
270715,19439
195844,49503
174415,52809
70250,4420
131185,33360
113670,69446
194282,48439
24722,60565
71984,17571
201760,64375
363777,31939
337998,5186
305140,32078
350954,32659
89980,5340
13027,43037
60980,40275
296809,24034
19310,17206
253919,72647
164755,68172
127970,43275
56054,8553
345846,31424
396561,14178
391627,20198
359301,30683
278224,22542
111531,12104
386834,60162
257368,74263
18187,12484
285982,2211
328324,454
87707,19259
351737,53376
124557,23125
289969,54374
114483,47295
337212,38410
330927,32355
300878,74263
174851,47440
31317,55122
25382,51349
102657,66311
67155,63312
64146,32551
299270,6180
168096,64736
197262,51463
349806,72784
28592,45924
58910,12884
141124,36148
346401,6045
198218,5096
73339,12561
277997,34864
354982,31354
137250,48949
150359,11849
1328,31937
164932,62708
124813,5340
190655,54957
76225,27971
61048,18842
160171,44000
114205,70149
398066,23453
330765,53745
395025,53762
105155,39652
364642,61513
155046,63842
64354,32022
208575,2211
376756,70993
394707,19849
89155,50995
230504,74990
229110,10081
246858,2316
188818,53938
191787,60062
314418,67001
175936,6180
148441,27319
138351,54764
140930,46847
78944,35645
293278,3487
81139,66180
353584,20372
260136,64114
224185,10147
322648,73897
319388,33819
318705,68659
242780,71376
284880,19395
275176,13340
123528,46318
114162,54822
310623,73882
92059,17034
148219,28718
4046,30942
387727,37353
160782,75647
247181,69251
307669,43068
12505,61332
314320,37421
338190,68172
348739,63114
240580,65659
249374,65659
370525,2050
251760,38745
197273,18741
128328,5412
331645,3448
182251,73878
345375,68585
121044,42125
372300,6594
319673,52979
363806,51586
71962,51751
367797,19988
239958,67411
201868,71299
25987,10141
53938,67411
175810,42411
97556,28467
286331,21243
52106,13281
13270,33197
144567,68659
221560,50942
295228,60165
291856,2211
362224,66343
221953,22539
299697,837
30785,17571
97936,55672
119905,46914
134669,6180
316569,22249
286802,29158
308501,70111
44744,49891
233657,71126
370672,6180
224523,57253
337107,63547
304725,7600
115185,27117
52200,14200
391197,40343
225594,45638
288631,13752
337323,5340
356270,7146
90985,21822
284858,28566
277325,15517
359572,29402
270182,30621
302911,32185
1006,2127
287204,61842
284337,51575
251162,35352
333043,75022
304575,2498
385683,49920
361798,28670
248736,11383
86322,45153
5778,56763
171865,50858
53498,3218
170814,70987
71582,45924
92193,5340
289159,61442
255582,36791
50286,53745
205923,12104
266138,54467
373661,12784
387394,8386
38190,38483
173644,73753
361658,68425
14783,52823
121905,11869
277063,30098
73745,20677
150757,38694
296374,6464
288491,2924
261894,61298
288587,61298
342211,61298
128954,61298
169153,61298
335573,61298
65626,74762
231365,48945
154431,17869
262333,31972
251491,34982
386930,61189
24792,52859
283508,1034
17062,6690
266641,5493
14423,75477
227181,13418
389447,48205
212150,28181
215669,59515
61061,756
396851,55105
182252,13494
88578,70162
29269,15710
264167,51129
77713,8257
262498,59491
148877,48619
340911,75943
304950,25336
241398,63111
72431,21152
238031,1308
331889,1742
145736,11552
42004,34690
282557,27223
374310,763
109358,70768
319727,46586
331564,31534
161953,32617
263623,45824
23546,75555
140885,21674
216346,14183
134275,21894
185476,38915
