target_id,ann,type
104082,21054,1
104082,2014,4
104082,7197,7
283014,21054,1
283014,2014,4
283014,7197,7
165540,26051,5
165540,35415,1
165540,18405,7
165540,21958,1
375202,7829,1
375202,20496,7
375202,28378,7
223710,6156,5
223710,35425,5
223710,26933,7
223710,19708,1
311005,24468,2
311005,11847,5
311005,17635,1
311005,31016,5
311005,16801,2
311005,28863,2
311005,19611,7
311005,14060,5
265955,20831,5
265955,24472,7
265955,22921,5
375693,16919,5
375693,4246,7
375693,2084,1
175726,11433,1
82187,5898,1
185747,16253,7
139526,31235,1
215739,15671,5
215739,29217,5
215739,1379,1
215739,16424,7
215739,610,7
104527,29856,7
104527,18810,5
315434,14675,1
315434,20984,5
315434,36031,5
315434,25088,7
237704,25219,5
237704,21368,7
237704,22394,7
237704,24165,5
237704,11656,5
237704,3091,5
237704,22155,5
237704,26757,7
237704,33998,7
237704,16303,1
143514,14117,1
25832,32136,5
25832,18428,6
25832,35461,5
25832,14909,5
25832,21902,7
25832,17002,1
25832,11808,0
25832,16678,5
25832,8355,5
25832,2096,1
279608,28793,1
25332,13976,7
78832,7096,1
78832,6488,5
78832,12460,1
78832,5258,5
78832,11111,0
78832,27479,7
78832,7509,7
78832,2201,7
31481,34233,1
31481,29442,7
31481,6218,7
31481,15437,1
167028,34789,1
167028,8095,7
167028,29450,7
167028,24821,1
187060,32136,5
187060,18428,6
187060,35461,5
187060,14909,5
187060,21902,7
187060,17002,1
187060,11808,0
187060,16678,5
187060,8355,5
187060,31351,1
187060,12454,5
5929,127,5
5929,28755,5
5929,30345,5
5929,21368,7
5929,30578,5
5929,5512,1
5929,35687,7
5929,24595,5
196932,14879,5
196932,6106,2
196932,25490,7
196932,4795,4
196932,25520,1
331922,127,5
331922,28755,5
331922,30345,5
331922,21368,7
331922,30578,5
331922,5512,1
331922,35687,7
331922,24595,5
215844,14879,5
215844,6106,2
215844,25490,7
215844,4795,4
215844,18561,7
215844,33407,1
358373,34233,1
358373,29442,7
358373,6218,7
358373,15437,1
151919,8477,7
151919,23393,7
151919,3955,1
151919,9472,1
151919,9839,5
6876,22043,5
6876,14089,5
306960,30604,5
347752,19890,5
347752,33658,5
347752,21368,7
347752,27546,5
347752,4373,7
347752,1290,5
347752,27373,5
347752,7926,7
347752,29658,1
347752,8787,5
347752,14528,5
360722,127,5
360722,28755,5
360722,30345,5
360722,21368,7
360722,30578,5
360722,5512,1
360722,35687,7
360722,24595,5
199787,35134,1
199787,29768,7
199787,2663,2
199787,8917,1
124122,127,5
124122,28755,5
124122,30345,5
124122,21368,7
124122,30578,5
124122,5512,1
124122,35687,7
124122,24595,5
106928,14879,5
106928,6106,2
106928,25490,7
106928,4795,4
106928,18561,7
106928,33407,1
335513,14879,5
335513,6106,2
335513,25490,7
335513,4795,4
335513,18561,7
335513,33407,1
49974,27296,5
49974,29179,5
49974,33648,5
49974,12727,5
49974,1380,5
49974,15342,7
49974,30704,7
49974,22894,5
49974,18910,5
49974,32826,7
49974,35013,5
394903,3067,5
394903,24472,7
394903,29742,5
394903,13157,7
33729,19890,5
33729,33658,5
33729,21368,7
33729,27546,5
33729,4373,7
