l,rho,lambda,lambda_suave
272,148.0,0.0,0.0636541856288365
273,148.0,0.0,0.0661524803862245
274,148.0,0.0,0.0687914481925808
275,148.0,0.0,0.0715398646364374
276,148.0,0.0,0.0743665053063263
277,148.0,0.0,0.0772401457907793
278,148.0,0.0,0.0801295616783284
279,148.0,0.0,0.0830035285575056
280,148.0,0.0,0.0858308220168428
281,148.0,0.0,0.0885802176448719
282,148.0,0.0,0.0912204910301248
283,148.0,0.0,0.0937204177611336
284,148.0,0.0,0.0960544191597843
285,148.0,0.0,0.0982194994813797
286,148.0,0.0,0.1002183087145769
287,148.0,0.0,0.1020534968480329
288,149.0,1.0,0.1037277138704049
289,149.0,0.0,0.1052436097703496
290,150.0,1.0,0.1066038345365244
291,150.0,0.0,0.1078110381575862
292,150.0,0.0,0.108867870622192
293,150.0,0.0,0.1097769819189987
294,150.0,0.0,0.1105410220366636
295,150.0,0.0,0.1111626409638436
296,150.0,0.0,0.1116444886891958
297,150.0,0.0,0.1119892152013771
298,150.0,0.0,0.1121994704890447
299,150.0,0.0,0.1122779045408555
300,150.0,0.0,0.1122271673454667
301,150.0,0.0,0.1120499088915351
302,150.0,0.0,0.111748779167718
303,151.0,1.0,0.1113264281626722
304,151.0,0.0,0.1107855058650549
305,151.0,0.0,0.1101286622635231
306,151.0,0.0,0.1093585473467337
307,151.0,0.0,0.1084778111033439
308,152.0,1.0,0.1074891035220107
309,152.0,0.0,0.1063950745913911
310,152.0,0.0,0.1051983743001422
311,152.0,0.0,0.1039016526369209
312,152.0,0.0,0.1025075595903844
313,152.0,0.0,0.1010187451491896
314,152.0,0.0,0.0994378593019937
315,152.0,0.0,0.09776847151222
316,152.0,0.0,0.0960178291423584
317,152.0,0.0,0.0941940990296647
318,152.0,0.0,0.0923054480113952
319,152.0,0.0,0.0903600429248059
320,152.0,0.0,0.088366050607153
321,152.0,0.0,0.0863316378956926
322,152.0,0.0,0.0842649716276807
323,153.0,1.0,0.0821742186403735
324,153.0,0.0,0.0800675457710271
325,153.0,0.0,0.0779531198568975
326,153.0,0.0,0.0758391077352409
327,153.0,0.0,0.0737336762433134
328,153.0,0.0,0.0716449922183711
329,153.0,0.0,0.0695812224976701
330,153.0,0.0,0.0675505339184665
331,153.0,0.0,0.0655610933180164
332,153.0,0.0,0.0636210675335759
333,154.0,1.0,0.0617386234024012
334,154.0,0.0,0.0599219277617482
335,154.0,0.0,0.0581791474488732
336,154.0,0.0,0.0565184493010322
337,154.0,0.0,0.0549480001554813
338,154.0,0.0,0.0534759668494767
339,154.0,0.0,0.0521105162202744
340,154.0,0.0,0.0508598151051306
341,154.0,0.0,0.0497320303413013
342,154.0,0.0,0.0487353287660427
343,154.0,0.0,0.0478778772166108
344,154.0,0.0,0.0471678425302619
345,154.0,0.0,0.0466133915442518
346,154.0,0.0,0.0462199077387382
347,154.0,0.0,0.0459816411654838
348,154.0,0.0,0.0458900585191526
349,154.0,0.0,0.0459366264944088
350,154.0,0.0,0.0461128117859165
351,154.0,0.0,0.0464100810883398
352,154.0,0.0,0.0468199010963428
353,154.0,0.0,0.0473337385045895
354,154.0,0.0,0.0479430600077441
355,154.0,0.0,0.0486393323004707
356,154.0,0.0,0.0494140220774334
357,154.0,0.0,0.0502585960332962
358,154.0,0.0,0.0511645208627234
359,154.0,0.0,0.0521232632603789
360,154.0,0.0,0.0531262899209269
361,154.0,0.0,0.0541650675390315
362,154.0,0.0,0.0552310628093567
363,154.0,0.0,0.0563157424265668
364,154.0,0.0,0.0574105730853257
365,154.0,0.0,0.0585070214802977
366,154.0,0.0,0.0595965543061467
367,154.0,0.0,0.0606706382575369
368,154.0,0.0,0.0617207400291324
369,155.0,1.0,0.0627383263155972
370,156.0,1.0,0.0637148638115956
371,156.0,0.0,0.0646418192117915
