AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.6276883669228167,0.8416071877651674,0.6638100510749623,6564,2 2 2 1,0.3,0.5,0.5,0.8
0.627580966496437,0.8415487944101594,0.6701333593864491,6564,3 2 4 1,0.6,0.5,,0.8
0.6273554256010396,0.8419808871447775,0.6723994376869176,6564,4 2 4 2,0.9,0.5,,1.0
0.6266304727229768,0.8418122203587008,0.6719272249632271,6564,4 2 4 3,0.9,0.5,,1.2
0.6264156718702174,0.8421768735175507,0.6731891727592965,6564,5 2 4 3,1.2,0.5,,1.2
0.6259860701646985,0.8411511677766381,0.6695634474785468,6564,3 2 4 2,0.6,0.5,,1.0
0.6253819427663128,0.8416440963458697,0.6725948360553411,6564,5 2 1 1,1.2,0.5,0.0,0.8
0.6251564018709155,0.8411031323444005,0.6711402037570764,6564,4 2 1 1,0.9,0.5,0.0,0.8
0.6246328247923144,0.8408888726056917,0.6691102318184532,6564,3 2 4 3,0.6,0.5,,1.2
0.6229788582260671,0.8397330369791413,0.660827512090274,6564,2 2 4 1,0.3,0.5,,0.8
0.6228741428103469,0.8400430057334947,0.6680898181166852,6564,3 2 1 1,0.6,0.5,0.0,0.8
0.6225653665845053,0.8392854752070227,0.6593484549959565,6564,2 2 4 2,0.3,0.5,,1.0
0.6214376621075186,0.8389312704331511,0.6578314037744453,6564,2 2 4 3,0.3,0.5,,1.2
0.6187419114053883,0.8378196255950152,0.6549329946428282,6564,2 2 1 1,0.3,0.5,0.0,0.8
0.5990285631433957,0.8162477361832547,0.6326939464499917,6564,1 2 3 1,0.0,0.5,1.0,0.8
0.5968912946584398,0.8126557533059413,0.6205114009520243,6564,1 2 2 1,0.0,0.5,0.5,0.8
0.5907157701416075,0.8087244919190111,0.6108961729058451,6564,1 2 4 1,0.0,0.5,,0.8
0.589480665238241,0.807737911082887,0.6081877344101954,6564,1 2 4 2,0.0,0.5,,1.0
0.5875474575634065,0.8069159262334975,0.6062066120636782,6564,1 2 4 3,0.0,0.5,,1.2
0.5833588409345986,0.8046175981560184,0.6018074349079185,6564,1 2 1 1,0.0,0.5,0.0,0.8
0.5778733641572558,0.8327417557267103,0.6640298742394388,6564,5 1 3 1,1.2,0.0,1.0,0.8
0.5754729646276696,0.8302861591013124,0.6595329978994675,6564,5 1 4 3,1.2,0.0,,1.2
0.5754192644144798,0.8307283383720784,0.6584528791406814,6564,4 1 3 1,0.9,0.0,1.0,0.8
0.5753789892545873,0.830433838655225,0.6597446794652599,6564,5 1 4 2,1.2,0.0,,1.0
